gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,No,No,34,Yes,DSL,One year,No,Mailed check,56.95,1889.5,0
Male,0,No,No,2,Yes,DSL,Month-to-month,Yes,Mailed check,53.85,108.15,1
Male,0,No,No,45,No,DSL,One year,No,Bank transfer (automatic),42.3,1840.75,0
Male,0,No,Yes,22,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,0
Female,0,Yes,No,28,Yes,Fiber optic,Month-to-month,Yes,Electronic check,104.8,3046.05,1
Male,0,No,Yes,62,Yes,DSL,One year,No,Bank transfer (automatic),56.15,3487.95,0
Male,0,Yes,Yes,13,Yes,DSL,Month-to-month,Yes,Mailed check,49.95,587.45,0
Male,0,No,No,16,Yes,No,Two year,No,Credit card (automatic),18.95,326.8,0
Male,0,No,No,25,Yes,Fiber optic,Month-to-month,Yes,Electronic check,105.5,2686.05,0
Female,0,Yes,Yes,69,Yes,Fiber optic,Two year,No,Credit card (automatic),113.25,7895.15,0
Male,0,No,Yes,71,Yes,Fiber optic,Two year,No,Bank transfer (automatic),106.7,7382.25,0
Female,0,No,No,21,Yes,Fiber optic,Month-to-month,Yes,Electronic check,90.05,1862.9,0
Male,1,No,No,1,No,DSL,Month-to-month,Yes,Electronic check,39.65,39.65,1
Male,0,No,No,1,Yes,No,Month-to-month,No,Mailed check,20.15,20.15,1
Male,0,Yes,Yes,49,Yes,DSL,Month-to-month,No,Credit card (automatic),59.6,2970.3,0
Male,0,Yes,No,72,Yes,DSL,Two year,Yes,Credit card (automatic),90.25,6369.45,0
Female,0,No,Yes,17,Yes,DSL,Month-to-month,Yes,Mailed check,64.7,1093.1,1
Female,1,Yes,No,71,Yes,Fiber optic,Two year,Yes,Credit card (automatic),96.35,6766.95,0
Female,0,Yes,Yes,27,Yes,DSL,One year,No,Mailed check,66.15,1874.45,0
Male,0,No,No,1,Yes,No,Month-to-month,No,Bank transfer (automatic),20.2,20.2,0
Male,1,No,No,1,Yes,DSL,Month-to-month,No,Bank transfer (automatic),45.25,45.25,0
Female,0,Yes,Yes,72,Yes,Fiber optic,Two year,No,Bank transfer (automatic),99.9,7251.7,0
Male,0,No,No,5,Yes,Fiber optic,Month-to-month,Yes,Electronic check,69.7,316.9,1
Female,0,No,No,11,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,1
Female,0,Yes,Yes,70,Yes,DSL,Two year,Yes,Credit card (automatic),69.2,4872.35,0
Female,0,Yes,Yes,17,Yes,No,One year,No,Mailed check,20.75,418.25,0
Female,0,No,No,63,Yes,DSL,Two year,Yes,Credit card (automatic),79.85,4861.45,0
Female,0,No,No,49,Yes,Fiber optic,Month-to-month,Yes,Electronic check,84.5,3906.7,0
Female,1,Yes,No,25,Yes,DSL,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,0
Female,1,Yes,No,8,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),80.65,633.3,1
Male,1,Yes,Yes,66,Yes,Fiber optic,One year,Yes,Electronic check,108.45,7076.35,0
Female,0,No,No,9,Yes,Fiber optic,Month-to-month,No,Electronic check,94.4,857.25,1
Female,0,No,No,3,Yes,DSL,Month-to-month,Yes,Electronic check,75.3,244.1,0
Female,0,No,No,31,Yes,DSL,Two year,No,Mailed check,79.2,2497.2,0
Female,0,Yes,Yes,50,Yes,No,Two year,No,Bank transfer (automatic),20.15,930.9,0
Male,0,No,No,1,Yes,DSL,Month-to-month,No,Mailed check,49.05,49.05,0
Male,0,Yes,Yes,62,Yes,No,Two year,Yes,Bank transfer (automatic),24.25,1424.6,0
Male,1,No,No,30,Yes,DSL,Month-to-month,Yes,Electronic check,74.75,2111.3,0
Female,0,No,Yes,1,Yes,Fiber optic,Month-to-month,Yes,Electronic check,79.35,79.35,1
Female,0,Yes,Yes,11,No,DSL,Month-to-month,No,Electronic check,50.55,565.35,0
Female,0,Yes,No,7,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,1
Female,0,No,No,42,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,0
Female,0,Yes,No,49,Yes,No,Two year,Yes,Bank transfer (automatic),20.15,973.35,0
Female,0,Yes,Yes,46,Yes,No,Two year,Yes,Mailed check,19.95,927.1,0
Male,0,Yes,Yes,66,Yes,DSL,Two year,Yes,Mailed check,84,5714.25,0
Female,0,No,No,65,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),111.05,7107,0
Female,0,No,No,12,Yes,Fiber optic,Month-to-month,Yes,Electronic check,78.95,927.35,1
Male,0,Yes,Yes,71,Yes,DSL,One year,Yes,Credit card (automatic),66.85,4748.7,0
Male,0,No,No,52,Yes,No,Two year,No,Bank transfer (automatic),21,1107.2,0
Male,0,No,No,1,Yes,No,Month-to-month,No,Mailed check,20.2,20.2,0
Female,0,Yes,Yes,1,Yes,No,Month-to-month,No,Electronic check,19.45,19.45,0
Male,0,Yes,No,68,Yes,Fiber optic,Two year,Yes,Bank transfer (automatic),110,7611.85,1
Male,0,No,No,5,No,DSL,Month-to-month,No,Mailed check,24.3,100.2,0
Male,0,No,No,43,Yes,Fiber optic,One year,No,Mailed check,94.35,3921.3,0
Male,0,Yes,Yes,72,Yes,No,Two year,No,Credit card (automatic),19.4,1363.25,0
Male,0,Yes,No,55,Yes,Fiber optic,Month-to-month,Yes,Electronic check,96.75,5238.9,1
Female,0,No,No,43,Yes,Fiber optic,Month-to-month,Yes,Electronic check,91.65,3954.1,0
Male,0,Yes,Yes,3,Yes,Fiber optic,Month-to-month,No,Electronic check,89.85,248.4,0
Female,0,Yes,Yes,10,Yes,Fiber optic,Month-to-month,Yes,Electronic check,100.25,1064.65,1
Male,0,No,No,3,Yes,Fiber optic,Month-to-month,Yes,Electronic check,74.4,229.55,1
Female,0,Yes,Yes,7,Yes,DSL,Month-to-month,No,Mailed check,50.7,350.35,0
Female,0,Yes,Yes,4,Yes,No,Month-to-month,No,Mailed check,20.85,62.9,0
Female,1,No,No,27,Yes,Fiber optic,Month-to-month,Yes,Electronic check,78.05,2135.5,1
Female,0,No,No,13,Yes,Fiber optic,Month-to-month,Yes,Electronic check,85.95,1215.65,0
Male,0,No,No,67,Yes,DSL,Two year,No,Bank transfer (automatic),50.55,3260.1,0
Male,0,No,Yes,57,Yes,No,Two year,Yes,Mailed check,19.6,1170.55,0
Female,1,Yes,No,1,Yes,Fiber optic,Month-to-month,Yes,Mailed check,70.45,70.45,1
Male,0,No,No,64,Yes,Fiber optic,One year,Yes,Credit card (automatic),84.3,5289.05,0
Female,0,Yes,Yes,65,Yes,Fiber optic,Two year,Yes,Credit card (automatic),99.05,6416.7,0
Male,0,No,Yes,30,Yes,DSL,One year,No,Credit card (automatic),64.5,1929.95,0
Female,0,Yes,Yes,8,Yes,DSL,Month-to-month,Yes,Electronic check,68.55,564.35,0
Male,0,No,No,7,Yes,Fiber optic,Month-to-month,No,Mailed check,95,655.5,1
Male,0,Yes,Yes,62,Yes,DSL,Two year,No,Electronic check,86.1,5215.25,0
Female,0,Yes,Yes,6,Yes,No,Month-to-month,No,Mailed check,19.7,113.5,0
Female,0,Yes,Yes,14,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),80.9,1152.8,0
Male,0,Yes,Yes,16,Yes,DSL,Two year,No,Mailed check,64.25,1024,0
Male,0,No,No,10,Yes,No,Two year,No,Bank transfer (automatic),25.7,251.6,0
Female,0,No,Yes,13,Yes,DSL,Month-to-month,Yes,Electronic check,56,764.55,0
Male,0,No,No,53,Yes,DSL,Two year,Yes,Bank transfer (automatic),73.9,3958.25,0
Female,0,Yes,Yes,11,Yes,No,One year,No,Mailed check,20.6,233.9,0
Female,0,No,No,4,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),70.9,273,1
Male,1,Yes,No,58,No,DSL,Month-to-month,Yes,Electronic check,45.3,2651.2,1
Female,0,Yes,Yes,16,Yes,No,Month-to-month,No,Electronic check,20.4,321.4,0
Male,0,Yes,No,43,Yes,Fiber optic,One year,Yes,Bank transfer (automatic),84.25,3539.25,0
Female,0,Yes,No,2,Yes,Fiber optic,Month-to-month,Yes,Electronic check,104.4,242.8,1
Female,0,No,No,32,Yes,No,One year,No,Bank transfer (automatic),20.55,654.55,0
Female,0,Yes,No,34,Yes,No,Month-to-month,No,Electronic check,24.7,780.2,0
Female,1,No,No,15,Yes,Fiber optic,Month-to-month,Yes,Mailed check,74.45,1145.7,1
Female,1,No,No,7,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),76.45,503.6,1
Male,0,Yes,No,61,Yes,No,One year,Yes,Credit card (automatic),20.55,1252,0
Female,0,No,No,1,No,DSL,Month-to-month,No,Bank transfer (automatic),29.95,29.95,1
Male,0,Yes,Yes,33,Yes,DSL,One year,No,Credit card (automatic),74.75,2453.3,0
Male,0,No,No,20,Yes,DSL,Month-to-month,Yes,Mailed check,51.8,1023.85,0
Male,0,No,No,3,No,DSL,Month-to-month,No,Electronic check,30.4,82.15,0
Female,0,No,No,13,Yes,No,One year,No,Electronic check,19.65,244.8,0
Male,0,Yes,Yes,43,Yes,DSL,One year,Yes,Credit card (automatic),71.9,3173.35,0
Male,0,Yes,No,6,Yes,Fiber optic,Month-to-month,Yes,Electronic check,91,531,1
Female,0,Yes,Yes,69,Yes,No,Two year,No,Bank transfer (automatic),19.75,1375.4,0
Male,0,Yes,Yes,59,Yes,No,Two year,No,Credit card (automatic),19.3,1192.7,0
Female,0,Yes,No,20,Yes,Fiber optic,Month-to-month,Yes,Electronic check,96.55,1901.65,0
Male,0,No,No,59,Yes,Fiber optic,Month-to-month,Yes,Electronic check,111.35,6519.75,0
Male,0,No,Yes,1,Yes,No,Month-to-month,No,Mailed check,20.75,20.75,0
Female,0,Yes,No,27,Yes,Fiber optic,One year,Yes,Credit card (automatic),101.9,2681.15,0
Male,0,No,Yes,13,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),78.3,1033.95,0
Male,0,Yes,Yes,72,No,DSL,Two year,Yes,Credit card (automatic),55.45,4179.2,0
Female,0,Yes,Yes,29,Yes,No,One year,No,Electronic check,20,540.05,0
Male,1,Yes,No,23,Yes,Fiber optic,Month-to-month,No,Electronic check,86.8,1975.85,0
Male,0,Yes,Yes,65,Yes,DSL,Two year,Yes,Bank transfer (automatic),84.2,5324.5,0
Female,0,No,No,4,Yes,Fiber optic,Month-to-month,Yes,Electronic check,70.15,268.35,1
Female,0,Yes,No,71,Yes,No,Two year,No,Bank transfer (automatic),24.75,1836.9,0
Male,0,Yes,Yes,1,Yes,No,One year,Yes,Electronic check,20.2,20.2,0
Male,0,Yes,No,4,Yes,DSL,Month-to-month,No,Mailed check,50.05,179.35,1
Female,0,No,No,12,Yes,No,One year,Yes,Bank transfer (automatic),19.35,219.35,0
Female,0,Yes,Yes,31,Yes,DSL,One year,Yes,Mailed check,81.15,2545.75,0
Female,0,Yes,No,1,Yes,DSL,Month-to-month,No,Mailed check,55.2,55.2,1
Male,0,No,No,1,Yes,Fiber optic,Month-to-month,Yes,Mailed check,84.6,84.6,1
Female,0,No,No,29,Yes,No,Month-to-month,No,Electronic check,25.15,702,0
Male,0,Yes,No,18,Yes,Fiber optic,Month-to-month,Yes,Electronic check,73.15,1305.95,0
Male,0,No,No,16,Yes,No,Two year,No,Mailed check,19.75,284.35,0
Female,0,No,No,72,Yes,DSL,Two year,No,Bank transfer (automatic),86.6,6350.5,0
Female,0,Yes,Yes,41,Yes,DSL,One year,Yes,Credit card (automatic),74.7,3187.65,0
Male,1,No,No,15,Yes,Fiber optic,Month-to-month,Yes,Electronic check,74.4,1074.3,1
Male,0,No,No,1,Yes,DSL,Month-to-month,Yes,Mailed check,48.55,48.55,1
Female,0,Yes,Yes,2,Yes,Fiber optic,Month-to-month,No,Electronic check,70.4,147.15,1
Male,1,Yes,No,1,No,DSL,Month-to-month,No,Electronic check,40.2,40.2,1
Male,0,No,Yes,32,Yes,DSL,One year,No,Credit card (automatic),83.7,2633.3,0
Female,0,Yes,Yes,61,Yes,Fiber optic,Two year,No,Credit card (automatic),115.1,7008.15,0
